0    ASSIGNOP
1    FILEEND
2    RELOP
3    ID
4    CONTROL
5    ADDOP
6    MULOP
7    WS
8    ARRAY
9    TYPE
10   VAR
11   INT
12   REAL
13   PUNC
14   GROUP
15   INVERSE
16   NOOP
17   LEXERR
      Line              Lexeme     Token Type     Token Attribute
        40                   (             14                   0
        40                   n              3      0x7f98e0403860
        40                   ,             13                   0
        40                   0             11                   0
        40                   ,             13                   0
        40                   1             11                   1
        40                   )             14                   1
        40                   *              6                   0
        40                   q              3      0x7f98e0403c60
        40                   /              6                   1
        40                   p              3      0x7f98e0403940
        40                   +              5                   0
        40                   4             11                   4
        40                   )             14                   1
        40                   ;             13                   1
        41             writeln              3      0x7f98e040a5c0
        41                   (             14                   0
        41                fib2              3      0x7f98e0405fa0
        41                   (             14                   0
        41                   n              3      0x7f98e0403860
        41                   )             14                   1
        41                   )             14                   1
        41                   ;             13                   1
        42             writeln              3      0x7f98e040a5c0
        42                   (             14                   0
        42           numsArray              3      0x7f98e040b380
        42                   [             14                   2
        42                   3             11                   3
        42                   ]             14                   3
        42                   )             14                   1
        43                 end              4                   3
        43                   .             13                   2
        44                 EOF              1                   0
