1    FILEEND
2    ASSIGNOP
3    RELOP
4    ID
5    CONTROL
6    ADDOP
7    MULOP
8    WS
9    ARRAY
10   TYPE
11   VAR
12   NUM
13   PUNC
14   GROUP
15   INVERSE
16   LEXERR
17   SYNERR
18   SEMERR
      Line              Lexeme     Token Attribute          Token Type
        26                   b                   4      0x7ff69f504ff0
        26                   ;                  13                   1
        27               while                   5                   9
        27                   a                   4      0x7ff69f501300
        27                   >                   3                   3
        27                   0                  12                   0
        27                   )                  14                   1
        27                   )                  17                   0
        27                  do                   5                   1
        27                  do                  17                   0
        28                call                   5                  10
        28                   3                  12                   0
        28                   ;                  13                   1
        29               begin                   5                   0
        30                   a                   4      0x7ff69f501300
        30                  :=                   2                   0
        30                   a                   4      0x7ff69f501300
        30                   -                   6                   1
        30                   1                  12                   0
        30                   ;                  13                   1
        31                   b                   4      0x7ff69f504ff0
        31                  :=                   2                   0
        31                 sum                   4      0x7ff69f605670
        31                   ;                  13                   1
        32                 sum                   4      0x7ff69f605670
        32                  :=                   2                   0
        32                   c                   4      0x7ff69f505750
        32                   +                   6                   0
        32                 sum                   4      0x7ff69f605670
        32                   ;                  13                   1
        33                   c                   4      0x7ff69f505750
        33                  :=                   2                   0
        33                   b                   4      0x7ff69f504ff0
        34                 end                   5                   3
        35                fib2                   4      0x7ff69f6037f0
        35                fib2                  17                   0
        35                  :=                   2                   0
        35                 sum                   4      0x7ff69f605670
        36                 end                   5                   3
        36                   ;                  13                   1
        38           procedure                   5                   6
        38                init                   4      0x7ff69f515340
        38                   ;                  13                   1
        39               begin                   5                   0
        40                   n                   4      0x7ff69f515df0
        40                  :=                   2                   0
        40                  12                  12                   0
        40                   ;                  13                   1
        41                  if                   5                   5
        41                   (                  14                   0
        41                   1                  12                   0
        41                 and                   7                   2
        41                   2                  12                   0
        41                   )                  14                   1
        41                  or                   6                   2
        41                   3                  12                   0
        41                then                   5                   8
        41                   p                   4      0x7ff69f501b80
        41                  :=                   2                   0
        41                  12                  12                   0
        42                else                   5                   2
        42                   p                   4      0x7ff69f501b80
        42                  :=                   2                   0
        42                  14                  12                   0
        42                   ;                  13                   1
        43           numsArray                   4      0x7ff69f5027b0
        43                   [                  14                   2
        43                   3                  12                   0
        43                   ]                  14                   3
        43                  :=                   2                   0
        43               15.56                  12                   1
        43                   ;                  13                   1
        44                   q                   4      0x7ff69f503c00
        44                  :=                   2                   0
        44                   q                   4      0x7ff69f503c00
        44                   [                  14                   2
        44                   4                  12                   0
        44                   ]                  14                   3
        44                   ;                  13                   1
        45                   q                   4      0x7ff69f503c00
        45                   [                  14                   2
        45                   4                  12                   0
        45                   ]                  14                   3
        45                  :=                   2                   0
        45                  12                  12                   0
        45                   ;                  13                   1
        46                 end                   5                   3
        46                 end                  17                   0
        46                   ;                  13                   1
        48               begin                   5                   0
        49                call                   5                  10
        49                init                   4      0x7ff69f515340
        49                   ;                  13                   1
        50                call                   5                  10
        50                fib2                   4      0x7ff69f6037f0
        50                   ;                  13                   1
        51                call                   5                  10
        51               rawr3                   4      0x7ff69f5076b0
        51                   (                  14                   0
        51                  34                  12                   0
        51                   ,                  13                   0
        51                  56                  12                   0
        51                   )                  14                   1
        52                 end                   5                   3
        52                   .                  13                   2
        53                 EOF                   1                   0
